Depth[m],Psi[m] 
1.996875,10
1.990625,10
1.984375,10
1.978125,10
1.971875,10
1.965625,10
1.959375,10
1.953125,10
1.946875,10
1.940625,10
1.934375,10
1.928125,10
1.921875,10
1.915625,10
1.909375,10
1.903125,10
1.896875,10
1.890625,10
1.884375,10
1.878125,10
1.871875,10
1.865625,10
1.859375,10
1.853125,10
1.846875,10
1.840625,10
1.834375,10
1.828125,10
1.821875,10
1.815625,10
1.809375,10
1.803125,10
1.796875,10
1.790625,10
1.784375,10
1.778125,10
1.771875,10
1.765625,10
1.759375,10
1.753125,10
1.746875,10
1.740625,10
1.734375,10
1.728125,10
1.721875,10
1.715625,10
1.709375,10
1.703125,10
1.696875,10
1.690625,10
1.684375,10
1.678125,10
1.671875,10
1.665625,10
1.659375,10
1.653125,10
1.646875,10
1.640625,10
1.634375,10
1.628125,10
1.621875,10
1.615625,10
1.609375,10
1.603125,10
1.596875,10
1.590625,10
1.584375,10
1.578125,10
1.571875,10
1.565625,10
1.559375,10
1.553125,10
1.546875,10
1.540625,10
1.534375,10
1.528125,10
1.521875,10
1.515625,10
1.509375,10
1.503125,10
1.496875,10
1.490625,10
1.484375,10
1.478125,10
1.471875,10
1.465625,10
1.459375,10
1.453125,10
1.446875,10
1.440625,10
1.434375,10
1.428125,10
1.421875,10
1.415625,10
1.409375,10
1.403125,10
1.396875,10
1.390625,10
1.384375,10
1.378125,10
1.371875,10
1.365625,10
1.359375,10
1.353125,10
1.346875,10
1.340625,10
1.334375,10
1.328125,10
1.321875,10
1.315625,10
1.309375,10
1.303125,10
1.296875,10
1.290625,10
1.284375,10
1.278125,10
1.271875,10
1.265625,10
1.259375,10
1.253125,10
1.246875,10
1.240625,10
1.234375,10
1.228125,10
1.221875,10
1.215625,10
1.209375,10
1.203125,10
1.196875,10
1.190625,10
1.184375,10
1.178125,10
1.171875,10
1.165625,10
1.159375,10
1.153125,10
1.146875,10
1.140625,10
1.134375,10
1.128125,10
1.121875,10
1.115625,10
1.109375,10
1.103125,10
1.096875,10
1.090625,10
1.084375,10
1.078125,10
1.071875,10
1.065625,10
1.059375,10
1.053125,10
1.046875,10
1.040625,10
1.034375,10
1.028125,10
1.021875,10
1.015625,10
1.009375,10
1.003125,10
0.996875,10
0.990625,10
0.984375,10
0.978125,10
0.971875,10
0.965625,10
0.959375,10
0.953125,10
0.946875,10
0.940625,10
0.934375,10
0.928125,10
0.921875,10
0.915625,10
0.909375,10
0.903125,10
0.896875,10
0.890625,10
0.884375,10
0.878125,10
0.871875,10
0.865625,10
0.859375,10
0.853125,10
0.846875,10
0.840625,10
0.834375,10
0.828125,10
0.821875,10
0.815625,10
0.809375,10
0.803125,10
0.796875,10
0.790625,10
0.784375,10
0.778125,10
0.771875,10
0.765625,10
0.759375,10
0.753125,10
0.746875,10
0.740625,10
0.734375,10
0.728125,10
0.721875,10
0.715625,10
0.709375,10
0.703125,10
0.696875,10
0.690625,10
0.684375,10
0.678125,10
0.671875,10
0.665625,10
0.659375,10
0.653125,10
0.646875,10
0.640625,10
0.634375,10
0.628125,10
0.621875,10
0.615625,10
0.609375,10
0.603125,10
0.596875,10
0.590625,10
0.584375,10
0.578125,10
0.571875,10
0.565625,10
0.559375,10
0.553125,10
0.546875,10
0.540625,10
0.534375,10
0.528125,10
0.521875,10
0.515625,10
0.509375,10
0.503125,10
0.496875,10
0.490625,10
0.484375,10
0.478125,10
0.471875,10
0.465625,10
0.459375,10
0.453125,10
0.446875,10
0.440625,10
0.434375,10
0.428125,10
0.421875,10
0.415625,10
0.409375,10
0.403125,10
0.396875,10
0.390625,10
0.384375,10
0.378125,10
0.371875,10
0.365625,10
0.359375,10
0.353125,10
0.346875,10
0.340625,10
0.334375,10
0.328125,10
0.321875,10
0.315625,10
0.309375,10
0.303125,10
0.296875,10
0.290625,10
0.284375,10
0.278125,10
0.271875,10
0.265625,10
0.259375,10
0.253125,10
0.246875,10
0.240625,10
0.234375,10
0.228125,10
0.221875,10
0.215625,10
0.209375,10
0.203125,10
0.196875,10
0.190625,10
0.184375,10
0.178125,10
0.171875,10
0.165625,10
0.159375,10
0.153125,10
0.146875,10
0.140625,10
0.134375,10
0.128125,10
0.121875,10
0.115625,10
0.109375,10
0.103125,10
0.096875,10
0.090625,10
0.084375,10
0.078125,10
0.071875,10
0.065625,10
0.059375,10
0.053125,10
0.046875,10
0.040625,10
0.034375,10
0.028125,10
0.021875,10
0.015625,10
0.009375,10
0.003125,10
