Depth[m],Psi[m] 
1.996875,15
1.990625,15
1.984375,15
1.978125,15
1.971875,15
1.965625,15
1.959375,15
1.953125,15
1.946875,15
1.940625,15
1.934375,15
1.928125,15
1.921875,15
1.915625,15
1.909375,15
1.903125,15
1.896875,15
1.890625,15
1.884375,15
1.878125,15
1.871875,15
1.865625,15
1.859375,15
1.853125,15
1.846875,15
1.840625,15
1.834375,15
1.828125,15
1.821875,15
1.815625,15
1.809375,15
1.803125,15
1.796875,15
1.790625,15
1.784375,15
1.778125,15
1.771875,15
1.765625,15
1.759375,15
1.753125,15
1.746875,15
1.740625,15
1.734375,15
1.728125,15
1.721875,15
1.715625,15
1.709375,15
1.703125,15
1.696875,15
1.690625,15
1.684375,15
1.678125,15
1.671875,15
1.665625,15
1.659375,15
1.653125,15
1.646875,15
1.640625,15
1.634375,15
1.628125,15
1.621875,15
1.615625,15
1.609375,15
1.603125,15
1.596875,15
1.590625,15
1.584375,15
1.578125,15
1.571875,15
1.565625,15
1.559375,15
1.553125,15
1.546875,15
1.540625,15
1.534375,15
1.528125,15
1.521875,15
1.515625,15
1.509375,15
1.503125,15
1.496875,15
1.490625,15
1.484375,15
1.478125,15
1.471875,15
1.465625,15
1.459375,15
1.453125,15
1.446875,15
1.440625,15
1.434375,15
1.428125,15
1.421875,15
1.415625,15
1.409375,15
1.403125,15
1.396875,15
1.390625,15
1.384375,15
1.378125,15
1.371875,15
1.365625,15
1.359375,15
1.353125,15
1.346875,15
1.340625,15
1.334375,15
1.328125,15
1.321875,15
1.315625,15
1.309375,15
1.303125,15
1.296875,15
1.290625,15
1.284375,15
1.278125,15
1.271875,15
1.265625,15
1.259375,15
1.253125,15
1.246875,15
1.240625,15
1.234375,15
1.228125,15
1.221875,15
1.215625,15
1.209375,15
1.203125,15
1.196875,15
1.190625,15
1.184375,15
1.178125,15
1.171875,15
1.165625,15
1.159375,15
1.153125,15
1.146875,15
1.140625,15
1.134375,15
1.128125,15
1.121875,15
1.115625,15
1.109375,15
1.103125,15
1.096875,15
1.090625,15
1.084375,15
1.078125,15
1.071875,15
1.065625,15
1.059375,15
1.053125,15
1.046875,15
1.040625,15
1.034375,15
1.028125,15
1.021875,15
1.015625,15
1.009375,15
1.003125,15
0.996875,15
0.990625,15
0.984375,15
0.978125,15
0.971875,15
0.965625,15
0.959375,15
0.953125,15
0.946875,15
0.940625,15
0.934375,15
0.928125,15
0.921875,15
0.915625,15
0.909375,15
0.903125,15
0.896875,15
0.890625,15
0.884375,15
0.878125,15
0.871875,15
0.865625,15
0.859375,15
0.853125,15
0.846875,15
0.840625,15
0.834375,15
0.828125,15
0.821875,15
0.815625,15
0.809375,15
0.803125,15
0.796875,15
0.790625,15
0.784375,15
0.778125,15
0.771875,15
0.765625,15
0.759375,15
0.753125,15
0.746875,15
0.740625,15
0.734375,15
0.728125,15
0.721875,15
0.715625,15
0.709375,15
0.703125,15
0.696875,15
0.690625,15
0.684375,15
0.678125,15
0.671875,15
0.665625,15
0.659375,15
0.653125,15
0.646875,15
0.640625,15
0.634375,15
0.628125,15
0.621875,15
0.615625,15
0.609375,15
0.603125,15
0.596875,15
0.590625,15
0.584375,15
0.578125,15
0.571875,15
0.565625,15
0.559375,15
0.553125,15
0.546875,15
0.540625,15
0.534375,15
0.528125,15
0.521875,15
0.515625,15
0.509375,15
0.503125,15
0.496875,15
0.490625,15
0.484375,15
0.478125,15
0.471875,15
0.465625,15
0.459375,15
0.453125,15
0.446875,15
0.440625,15
0.434375,15
0.428125,15
0.421875,15
0.415625,15
0.409375,15
0.403125,15
0.396875,15
0.390625,15
0.384375,15
0.378125,15
0.371875,15
0.365625,15
0.359375,15
0.353125,15
0.346875,15
0.340625,15
0.334375,15
0.328125,15
0.321875,15
0.315625,15
0.309375,15
0.303125,15
0.296875,15
0.290625,15
0.284375,15
0.278125,15
0.271875,15
0.265625,15
0.259375,15
0.253125,15
0.246875,15
0.240625,15
0.234375,15
0.228125,15
0.221875,15
0.215625,15
0.209375,15
0.203125,15
0.196875,15
0.190625,15
0.184375,15
0.178125,15
0.171875,15
0.165625,15
0.159375,15
0.153125,15
0.146875,15
0.140625,15
0.134375,15
0.128125,15
0.121875,15
0.115625,15
0.109375,15
0.103125,15
0.096875,15
0.090625,15
0.084375,15
0.078125,15
0.071875,15
0.065625,15
0.059375,15
0.053125,15
0.046875,15
0.040625,15
0.034375,15
0.028125,15
0.021875,15
0.015625,15
0.009375,15
0.003125,15
